handle,score,status,posts_seen,valuable_posts
"@koidan0724",10.4,"active",1,1
"@koufukuliner716",10.4,"active",1,1
"@koyatsuji_zyayo",10.4,"active",1,1
"@kureakurea01",10.4,"active",1,1
"@lasagna_tgb",10.4,"active",1,1
"@littlebee_bp",10.4,"active",1,1
"@macotocrazyenka",10.4,"active",1,1
"@madocheeeee",10.4,"active",1,1
"@mariemamanlune1",10.4,"active",1,1
"@maru3manmaru10",10.4,"active",1,1
"@mmt_201323",10.4,"active",1,1
"@nbzpkzgz7ouzexk",10.4,"active",1,1
"@niwabunko",10.4,"active",1,1
"@oksvwu000p30380",10.4,"active",1,1
"@pochuun",10.4,"active",1,1
"@psych_adoco",10.4,"active",1,1
"@rararaiwon_",10.4,"active",1,1
"@s1118rtiine",10.4,"active",1,1
"@sameneko549",10.4,"active",1,1
"@shizuku_harada",10.4,"active",1,1
"@sumika2539",10.4,"active",1,1
"@super_man_desu",10.4,"active",1,1
"@umiumi0530",10.4,"active",1,1
"@unipoyp",10.4,"active",1,1
"@uratyranohoshi",10.4,"active",1,1
"@vnhntlevfykvkry",10.4,"active",1,1
"@wai74",10.4,"active",1,1
"@xuf7tqo87q4jixi",10.4,"active",1,1
"@yandkey",10.4,"active",1,1
"@yes_idol",10.4,"active",1,1
"@ymicwgjj6wv5n1t",10.4,"active",1,1
"@ymymmcho",10.4,"active",1,1
"@yohanne59760234",10.4,"active",1,1
"@yuuma_ku",10.4,"active",1,1
"@zhhirafa",10.4,"active",1,1
"@kame_matsuri",10.3,"active",2,2
"@iid_psv",10.067,"trusted",15,11
"@s_y_singer",9.867,"trusted",3,3
"@niinobon_uta",9.8,"trusted",7,7
"@towa_q",9.8,"active",2,2
"@tsukimoto_info",9.8,"active",2,2
"@ocha_bon",9.667,"trusted",6,5
"@nao55915105",9.4,"active",1,1
"@pawbabys367",9.4,"active",1,1
"@amm_240806",9.3,"active",2,2
"@gokuraku_15",9.3,"active",2,2
"@kazamina",9.3,"active",2,2
"@sed34y",9.3,"active",2,2
"@suwa_3638",9.3,"active",2,2
"@zwillings_haru",9.3,"active",2,2
"@elevator_p",9.2,"trusted",3,3
"@loveydovey5f",9.2,"trusted",3,3
"@m125m8qgyhwuehs",9.2,"trusted",10,6
"@kuma_bot999",8.867,"trusted",3,3
"@hisbow2",8.8,"active",2,2
"@sasurai_3",8.8,"active",2,2
"@taya_no1_v",8.8,"active",2,2
"@abydos_i_nonomi",8.6,"trusted",4,4
"@dakafo10",8.6,"trusted",4,4
"@0kc_tokyo",8.4,"active",1,1
"@0lusina",8.4,"active",1,1
"@0yt2qgtkn2qgria",8.4,"active",1,1
"@1924dada",8.4,"active",1,1
"@5te6ia0nzw6jeyj",8.4,"active",1,1
"@_yoshiharu_i",8.4,"active",1,1
"@adisa382",8.4,"active",1,1
"@akipedia",8.4,"active",1,1
"@anna_rput",8.4,"active",1,1
"@bonbla2009",8.4,"active",1,1
"@burosutananko",8.4,"active",1,1
"@chiachialand",8.4,"active",1,1
"@chris_lap100",8.4,"active",1,1
"@drmemi",8.4,"active",1,1
"@godd_akaei",8.4,"active",1,1
"@griot_sakamoto",8.4,"active",1,1
"@h1na__1132_",8.4,"active",1,1
"@haniwafactory",8.4,"active",1,1
"@harukawa456423",8.4,"active",1,1
"@haughtydog",8.4,"active",1,1
"@hbkdxqrjsklmkk4",8.4,"active",1,1
"@hellopromi",8.4,"active",1,1
"@hhbwota50",8.4,"active",1,1
"@hirokaya312704",8.4,"active",1,1
"@hota__2525",8.4,"active",1,1
"@hyusaka1973",8.4,"active",1,1
"@icewoaisuru_vrc",8.4,"active",1,1
"@ichigomoon1315",8.4,"active",1,1
"@ikumirutaberu",8.4,"active",1,1
"@kachinoishichi",8.4,"active",1,1
"@katosanxkatosan",8.4,"active",1,1
"@kinshichokawac1",8.4,"active",1,1
"@kobepackopener",8.4,"active",1,1
"@koji_usiko21",8.4,"active",1,1
"@koshigayaweb",8.4,"active",1,1
"@kozakanacs5",8.4,"active",1,1
"@kuroshi_03",8.4,"active",1,1
"@lonelystar0",8.4,"active",1,1
"@m0i9h0o5",8.4,"active",1,1
"@maihamaiseo_122",8.4,"active",1,1
"@manamana04115",8.4,"active",1,1
"@marika1928924",8.4,"active",1,1
"@mayoi_truth",8.4,"active",1,1
"@metabo_oyaji",8.4,"active",1,1
"@metarusuzuki",8.4,"active",1,1
"@mh9iq3rz6h9u0vj",8.4,"active",1,1
"@miastyle1688",8.4,"active",1,1
"@mii_tnmr",8.4,"active",1,1
"@mikan00070325",8.4,"active",1,1
"@mozuko00",8.4,"active",1,1
"@mseethelight",8.4,"active",1,1
"@n2icsv0uclmz6wl",8.4,"active",1,1
"@niteyuyo_21056",8.4,"active",1,1
"@nochoconochee",8.4,"active",1,1
"@nsg2026_gsd",8.4,"active",1,1
"@obakaaki",8.4,"active",1,1
"@ootukimusume",8.4,"active",1,1
"@piyopiyoxxxxxx",8.4,"active",1,1
"@ponhr17",8.4,"active",1,1
"@ren_game_s808",8.4,"active",1,1
"@ren_neochi_",8.4,"active",1,1
"@rzfsn7b81g24629",8.4,"active",1,1
"@sammy1477331",8.4,"active",1,1
"@seinankinderg",8.4,"active",1,1
"@shoyunokioku",8.4,"active",1,1
"@soukuusibui",8.4,"active",1,1
"@tasogarecords",8.4,"active",1,1
"@teateseitai",8.4,"active",1,1
"@tosh728",8.4,"active",1,1
"@ukulelesennin",8.4,"active",1,1
"@utabot7",8.4,"active",1,1
"@v9wjbldnvueyob0",8.4,"active",1,1
